입력데이터,카테고리,메뉴,감성,정확도,긍부정이유,추천답변
이ㄱ그튼거 포장만하는업체늘 왜 쳐넣어둡니까? 또 포장만해서 안가지러오면 전화라도한던가 40분째전화도없고 전화도안받는 그지같은업체좀거르십쇼 기본적으로배달취급하는업체를 넣던지,배달,기타,부정,99.4%,배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
배달팁 배민보다 안좋고 배송빠른것도아니고 멀리서오는것도아니고 그냥 다 별로,배달,기타,부정,99.3%,배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
항상 잘 쓰고있습니다. 나중에 찜한 가게들을 분류해서 볼 수 있는 기능이 추가 되면 더 좋을거 같습니다.,일반,기타,애매,99.8%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
주문내역에 수저 젓가락 체크했는지 안나옴 분명히 눌렀는데 확인할 방법이 없어서 가게에서 수저 젓가락을 잘안줌,일반,기타,애매,98.7%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
찜하기 기능처럼 마음에 안든 가게 표시라든가 아니면 아예 보이지 않게 만드는 기능도 있었으면 합니다,일반,기타,애매,98.2%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
신속 정확 편리~ 좋군요~^,일반,기타,애매,99.8%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
"배달취소건 전화알림이나 고객이 즉각적으로 알수있는 방법 같은건 없나요? 업체에서 따로 연락주는것도 아니고, 주문완료후 핸드폰을 상시 보고있는것도 아니고. 몇십분을 기다리다 배달이 안와서 보면; 취소되어있고. 통보를 카톡,알림으로만 하니. 보통은 다시 주문해서 먹긴하는데, 오늘은 너무 늦기도했고 내일출근인데다 너무 열받네요. 진짜 이것좀 개선해주세요.",배달,기타,부정,99.3%,배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
"주문취소버튼따로만드세요 ,주문취소할려고 상가에전화하면 상가에서 요기요센터로전화하라하고 센터는 바빠서전화를안받고 그럴꺼며뉴센터를왜만들엇어요",일반,기타,애매,98.8%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
배민 없으면 못사는 1인입니다. 너무 잘쓰고있는데 건의를 몇가지 드리고 싶습니다. 1. 주문내역 검색기능 추가 : 예전에 주문했던 가게나 메뉴가 기억이 안나서 찾아보려면 참 힘드네요. 배민에서 워낙 많이 시켜먹어서 한참 스크롤 내려야 되거든요ㅠ저같은 충성고객들 위해 제발 추가해주세요. 2. 특정 메뉴 선택하여 리뷰보기 기능 : 요즘 리뷰에 다른 고객이 무슨 메뉴를 먹었는지 볼수있어 참 좋습니다! 그런데 원하는 메뉴를 선택하면 해당 리뷰만 볼 수 있는 기능이 생기면 더 편할 것 같아요!,일반,기타,애매,99.6%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
이거사용해보니까 진짜좋네요!음식을시키기만하면바로배달되네요!그리고 쿠폰까지 있으니까 쿠폰으로도시킬수있네요!배달의민족은 정말최고인거 같아요😇이걸쓰니 음식은 정말쉽게 구매할수있어 좋네요😙많이쓰면 더좋아요!배달의 민족파이팅!사랑해요!,"맛, 배달",기타,긍정,99.8%,"맛, 배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.",
음식 종류에 들어가서 원하는 상호 검색이 되면 좋겠어요,맛,기타,긍정,99.5%,맛에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
익스프레스가 빠른배달도아니고 묶음배달에 자동매칭? 으로 온다하던데 익스프레스가 언제부터 그런뜻이였나요? 신속하지가않은데? 표기바꾸셔야 될듯합니다.,배달,기타,긍정,98.9%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
이병1신어플은 왜 이미 문닫은 가게가 주문이되고 그걸 또 주문을 가게에서 받았다고 알려주고 해서 사람을 한시간이나 기다리게만드냐,"맛, 배달",기타,부정,99.1%,"맛, 배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
다 좋은데.배달오류가 나면 매장에 전화를 해야되는데 배달시간이 끝나면 재주문만 떠있고 전화하는 기능은 없어지더라구요 그게 좀 불편해요.,"맛, 배달",기타,부정,99.1%,맛에서 만족도가 높고 배달에서 아쉬움이 보여 종합적으로 애매 분석되었습니다.,
사용하기 편하고 입점업체 더 많이 들어왔음하네요. 입점 상점한테도 수수료를 낮춰줘서 윈윈하는 플랫폼이 되었음합니다.,일반,기타,애매,99.8%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
프로필 수정 하려고 하는데 앨범에서 선택 하기가 안되서 불편 하고 짜증 나는데 업데이트 하면 될까 해서 해보고 삭제 했다가 다시 설치 하면 될까 해서 삭제 하고 설치도 해봤는데 안되네요 어플 관리가 똥인건지 관리를 안하는건지 쓸데없이 업데이트만 시켜 대는건지 화만 나네요 정말,일반,기타,애매,99.4%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
쿠팡 너무 편함. 쿠팡 캐시 사용도 가능하고 배달비도 없고. 픽업된 후 위치 지도로 볼 수도 있고. 대신 매장보다 가격이 2천원씩 더 받는 곳이 있어요.,"배달, 가격/양",기타,긍정,99.6%,"배달, 가격/양에서 만족도가 높고 종합적으로 긍정 분석되었습니다.",
쿠팡이츠 음식배달점에 리뷰이벤트는 따로 안보이나봐요 다른배달어플로 이벤트정보를 보고와야지만 알수있어서 좀 불편하네요,"맛, 배달",기타,긍정,80.9%,"맛, 배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.",
"입점 업소 좀 늘려주세요 배민이랑 차이가 넘 나여, 테이크 아웃 기능도 추가 좀.",일반,기타,애매,99.3%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
아들이 알려줬습니다. 정말 편하네요. 자주 이용토록 하겠습니다.,일반,기타,애매,99.8%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
배달파트너가 없는지 매번 지연되고 짜증나게함 이런식이면 배달비는 왜 받는건지 이해가 안감,배달,기타,부정,99.4%,배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
로그인 중인데도 쿠폰 받기를 누르면 로그인을 하라는 팝업이 지속적으로 떠서 문의를 했더니 그냥 앱을 삭제 했다가 다시 깔라는데 삭제 했다가 다시 깔아도 안된다고 했더니 그런 이슈는 없어서 처리가 어렵답니다 ㅋ 할많하않.,일반,기타,애매,99.3%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
"그놈의 일회용품 빼기 기본설정은 죽어도 안 없애네. 제발 소비자한테 불편함을 강요하지마. 기본으로 그냥 일회용품 받게 해야지 뭔 모순적이게 ""배달""음식 중계 플랫폼이 무슨 환경보호를 반강제로 동참 시키게 하고 있냐? 수수료 팔이로 먹고 살면서 뭔. 차라리 포인트 준다고 유도해서 일회용품 안 받기를 자발적으로 누르게 만들 거나 포장을 하게끔 바꿀 생각은 없고 왜? 매번 꾸역꾸역 체크를 쳐 눌러야 되게 끔 불편한 구조를 왜 소비자에게 강요를 하고 있냐?","맛, 배달",기타,부정,99.4%,"맛, 배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
요기요구독을 신청하려고 하니까 본인 인증을 하라고 하면서 오류 페이지가 나오네요,일반,기타,애매,90.9%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
주문접수전부터 주문취소 하겠다고 문의하는데 상담원이 바쁘다고 연락이 안되어서 결국 음식이 조리에 들어가 주문취소가 불가능한 미친어플 그냥 배달의 민족이나 사용하겠습니다. 음식점 연락처도 기입이 제대로 안되어있고 상담원은 연락이 안되는데 도대체 주문취소를 어떻게 하라는겁니까? 장난하세요?,"맛, 배달",기타,부정,99.5%,맛에서 만족도가 높고 배달에서 아쉬움이 보여 종합적으로 애매 분석되었습니다.,
주문이 배달이 안된다고 주문이 취소된다고 연락이 온게 주문하고 50분뒤에 연락이 옴,배달,기타,부정,99.0%,배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
직원분들은 친절하셨는데 주문한 음식이 너무 늦게 나와서 기분이 너무 나빴네요.,맛,기타,부정,99.5%,맛에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
"배달시간이 시킬때마다 점점 늦어지네요. 예전에 늦으면 쿠폰이라도 줬는데. 배달비가 싸기라도 하면, 할말이 없는데, 이용할 수록 배달비만 올라가고, 택배는 느려지고. 정말 다시는 안쓸거 같네요","맛, 배달",기타,부정,99.3%,"맛, 배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
요즘 잘 시키고 있습니다. 다만 예전에 안 좋은 추억이 있어 아직은 하나 까야겠어요 ㅎ,일반,기타,애매,99.8%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
혜택이 많아서 좋아요.할인 좋아요.저는 쿠팡이츠만 씁니다.오늘은 무료 배달인데도 순살쁘링클은 23분에 배달완료구 바른 치킨은 32분에 배달 완료했어요 대박 입니다,배달,패스트푸드,긍정,99.7%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
배민만 여러해 쓰다 여러번 서비스 불만족으로 짜증나서 갈아탄지 일년여.한두번 배달착오와 새벽늦게까지 배달 안되는점 빼면 대체적로 배민보다 만족 그리고 식당번호 표기를 왜안해놓는지 저번에 배달이 안왔는데 배달완료가 뜨길래 가게 번호찾는데 번호가없어서 당황함 리뷰이벤트란도 배민처럼 활성화되었으면 좋겠음 배민에 있는 같은 가게인데 배달료는 더받으면서 배달시간도 비슷한데 이벤트는 왜안하는지,"맛, 배달",기타,부정,86.6%,배달에서 만족도가 높고 맛에서 아쉬움이 보여 종합적으로 애매 분석되었습니다.,
가격은 저렴한 편이지만 주문한 음식이 너무 늦게 나와서 기분이 너무 나빴네요.,"맛, 가격/양",기타,부정,99.4%,가격/양에서 만족도가 높고 맛에서 아쉬움이 보여 종합적으로 애매 분석되었습니다.,
우선 할인혜택 장난이없고 할인 혜택 이용이 편합니다 어떤 민족운운하는 앱보다 훨좋아요,일반,기타,애매,99.8%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
당장 배민에 되는 건 좀 빨리 다 베끼고 그 다음이 있어야 되는 거 아닌가? 메뉴별 리뷰 보기는 언제 만들 것이며. 함께 주문하기는 특히 치명적임 이거 없어서 아직도 배민을 못 지우고 있음 ㅎ 이런 심각한 건 좀 빨리 넣어야 되는 거 아닌가? 그래도 와우 쓰며 뽀나리 정도로 쓰기엔 나쁘지 않으니 1점만 깜. 투입되는 인력도 딱 그 수준일 거 같은데 어쩌겠나. 안 하고 싶어서 안 하진 않겠지.,일반,기타,애매,65.5%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
이제 요기패스가 무의미하다. 배달비무료적용안되는가게가 절반이상임. 게다가 배달비가 4천원은기본이고 같은동인데도 6천원을받고.5만원어치를시켜도 무조건 6천원받음ㅋ무료배달을 아예안함ㅡ요기패스 해지해야겠다. 앱업데이트 어떻게한건지.접속이 안된다. 배민으로 돌아가겠음,배달,기타,부정,99.3%,배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
배민 안좋아해서 요기요로 잘쓰고 있습니다 요기요에만 있는 기능! 해당 메뉴를 시킨 사람의 리뷰 바로보기! 전 이거 너무 좋아요ㅠ배달 안시켜먹는데도 회원이라고 500원쿠폰 꼬박꼬박 주고 ㅋ,배달,기타,긍정,99.7%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
주문한지 2시간이 넘어서야 배달이 시작되는게 말이되나요. 그전에 고객센터에서 빠르게 라이더 연결해주신다고한지도 한시간이 넘어갔는데 이쯤되면 고개센터 문의내역을 받거나 전화를 받거나 환불을 해주셔야하지않나요? 만들어진지 2시간 지난음식을 돈 내고 사먹어야하는게 맞다고 생각하시나요. 이런 경우에 대한 메뉴얼이 소비자가 무작정 기다리는것 빼고는 없다는게 말이 되는지. 빠르게 대안책좀 내놔주시길 바랍니다,"맛, 배달",기타,부정,99.3%,"배달에서 만족도가 높고 맛, 가격/양에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
"저는 보너스 몇만원 받은거,배달도 없는데 이메일 다시 입력하니 가입불가네요. 가입도 못하게 해놓고 무슨광고가 그렇게 들어와요.첫배송 어쩌고.",배달,기타,부정,99.4%,배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
구글 리뷰 살면서 처음 남깁니다. 요기요에서 꼭 배달 시스템 문제 해결에 힘쓰길 바랍니다. 걸어서 20분 거리 차타면 7분거리 음식점에서 배달 1시간씩 밀리다가 2시간 쳐걸린다길래 언제올지 오기생겨서 기다렸는데 배달원 없다고 주문취소 당함 시스템상 문제가 매우 크다고 생각됩니다. 주문취소할 거면 빠르게 하는 게 맞겠죠? 이런 거 리스크 줘야 하지 않을까요? 2시간 기다리다가 취소 당하는것 배고프고 매우 기분 나쁘네요 보상으로 4000원 쿠폰 주면 뭐합니까 또 취소 당할 일만 남아있을 거 같네요 누가 이런 시스템 가진 어플 쓰고 싶을까요. 어플 삭제하고 그냥 배민 갑니다. 꼭 문제 파악 하시고 해결에 힘쓰시길 바랍니다.,"맛, 배달",기타,부정,99.3%,배달에서 만족도가 높고 맛에서 아쉬움이 보여 종합적으로 애매 분석되었습니다.,
